2021/05/13 22:00:52 {"callers":["D:/GoProjects/src/BUGU/main.go: 21 main.init.0"],"level":"info","message":"eddycjy: go-programming-tour-book/blog-service","time":1620914452855268000}
2021/05/26 21:43:56 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: SecurityCode长度必须至少为3个字符","time":1622036636336570000}
2021/05/26 21:45:06 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: SecurityCode为必填字段","time":1622036706798294900}
2021/05/27 23:51:59 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: SecurityCode为必填字段","time":1622130719661060900}
2021/05/28 00:42:16 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1622133736582309600}
2021/05/28 19:06:02 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: Password长度必须至少为6个字符","time":1622199962342854200}
2021/05/28 19:06:02 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.LoginUser err: 账号或密码错误","time":1622199962344857600}
2021/05/28 19:07:14 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.LoginUser err: 账号或密码错误","time":1622200034442234700}
2021/05/28 19:07:20 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: Username长度必须至少为3个字符","time":1622200040925479500}
2021/05/28 19:07:20 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.LoginUser err: 用户不存在","time":1622200040926480100}
2021/05/28 19:07:59 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"app.BindAndValid errs: Username长度必须至少为3个字符","time":1622200079832671100}
2021/05/28 19:08:20 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.LoginUser err: 用户不存在","time":1622200100671770400}
2021/05/29 18:11:09 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.LoginUser err: 用户不存在","time":1622283069181209500}
2021/05/29 18:27:51 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.CreateUser err: a","time":1622284071910108200}
2021/05/29 18:28:04 {"callers":["D:/GoProjects/src/bugu/main.go: 24 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1622284084587634100}
2021/06/02 20:05:46 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: SecurityCode为必填字段","time":1622635546685518600}
2021/06/02 20:05:57 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateUser err: 用户已存在","time":1622635557031274100}
2021/06/02 20:07:04 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: NewPwd为必填字段,SecurityCode为必填字段","time":1622635624265951100}
